Номер тега,Количество изображений с тегом,Человекочитаемое лаконичное представление,Субкатегория,Имя тэга на danbooru,Описание тега с danbooru,"Категория, присвоенная danbooru",Комментарии
241,206263,,,white_panties,"Plain, white colored [[panties]]. Sometimes they may also be accessorized with a [[bow panties|tiny red bow on top]] as mostly seen in anime.",General,
242,206337,,,v-shaped_eyebrows,"Eyebrows that are slanted inwards, forming a V shape. Often used to indicate a sense of mischievousness or [[smug|smugness]], or alternatively [[angry|anger]] or [[annoyed|annoyance]].",General,
243,204200,,,aqua_eyes,A character with blue-green colored eyes.,General,
244,203879,,,twin_braids,A hairstyle that consists of two [[braid]]ed lengths of hair.,General,
245,203324,,,puffy_short_sleeves,[[Puffy sleeves]] that are also [[short sleeves|short]].,General,
246,203120,,,dark-skinned_female,A female character with [[dark skin]].,General,
247,203063,,,clothing_cutout,"An intentional hole or opening in a piece of clothing designed to expose part of the body. For example, a [[cleavage cutout]] is a hole in the chest that exposes the [[breasts]], while a [[navel cutout]] is a hole in the stomach that exposes the [[navel]].",General,
248,202891,,,blue_skirt,A [[skirt]] or [[miniskirt]] that is colored [[blue]].,General,
249,202200,,,neckerchief,A piece of cloth tied into two separate pieces resembling neckties.,General,
250,200553,,,orange_eyes,A character with orange colored eyes.,General,
251,199972,,,black_shoes,[[Shoes]] that are colored black.,General,
252,199604,,,two_side_up,"A hairstyle in which two locks of hair are tied up on both sides of the head while the back of the hair hangs normally. The amount of hair tied up doesn't matter, only that the back of the hair falls down loosely.",General,
253,199926,,,multiple_views,"Two or more different pictures of the same character in an image. These can be the same character from different viewpoints, in different outfits, in different poses, or any combination.",General,
254,197615,,,side_ponytail,"A [[ponytail]] that is tied at the side of the head rather than the back. [[Akita Neru]], [[Flandre Scarlet]] and [[Kaga (kancolle)|]] are noted wearers of this style.",General,
255,196996,,,flat_chest,"A female character with a completely flat chest, that is, no [[breasts]] whatsoever. For breasts larger than flat yet smaller than normal, use the [[small breasts]] tag.",General,
256,195725,,,black_choker,A [[choker]] that is colored [[black]].,General,
257,191479,,,tree,"Perennial woody [[plant]]s, not precisely defined, but distinguished from [[bush|shrub]]s by their size and growth habit. Trees usually have a single unbranched spindle or trunk at some distance from the ground and have a head of [[branch]]es and [[leaf|leaves]]. For the very young version, see [[sapling]].",General,
258,190572,,,symbol-shaped_pupils,For posts where a character has some sort of symbol or item as their pupils as opposed to regular pupils. Note that this tag is not for when the eyes are replaced completely with symbols.,General,
259,189726,,,upper_teeth_only,When only the upper [[teeth]] are drawn in the mouth.,General,
260,187572,,,thigh_strap,"A strap worn around the [[thighs|thigh]]. A thigh strap may be a band of fabric or leather, or a belt, but not metal.",General,
261,188237,,,mole_under_eye,"A [[mole]] located just below someone's eye, also known as a tear mole. Fashionable in Japan, surpassing the Marilyn Monroe-style beauty mark popular in Western pop culture.",General,
262,187425,,,sleeves_past_wrists,Sleeves that reach past the wrists.,General,
263,185365,,,fur_trim,"A strip of [[fur (clothing)|fur on clothing]] around the collar, hem, ends of sleeves, or other edges. Commonly white fur on Christmas-themed clothing such as the [[Santa hat]].",General,
264,182768,,,black_pants,Any style of [[pants]] that are colored [[black]].,General,
265,181467,,,feet_out_of_frame,"Like [[full body]], except both of the character's feet are outside of the image. Part of the character's shins may be cropped out as well, but their knees should be within the image. Compare with [[cowboy shot]].",General,
266,181377,,,strapless,"A [[shirt]], [[dress]], or other top that doesn't have any straps, neck, or sleeves. The shoulders, neck, and usually the arms are left [[bare shoulders|bare]].",General,
267,179172,,,v,"Making a '[b]V[/b]' shape with the index and middle finger, like this: ✌️. Use [[W]] instead if the thumb is open too.",General,
268,179684,,,cat_tail,Use this tag when a character has a [[cat]]-like [[tail]].,General,
269,179274,,,toes,Digits of the [[feet]].,General,
270,178493,,,hand_on_own_hip,A character resting [b]one[/b] hand on their own hip.,General,
271,178315,,,bar_censor,"A bar censor (墨塗り [i]suminuri[/i], lit. ink coating) is a rectangle, usually solid black or white, used to [[censored|censor]] images. Sometimes used for comedic purposes and/or to conceal a character's [[censored identity|identity]].",General,
272,177288,,,sleeveless_dress,A [[dress]] with [[sleeveless|no (attached) sleeves]].,General,
273,176647,,,sparkle,"A momentary bright shimmer of reflected [[light]], generally [[diamond_(shape)|]]- or [[star (symbol)|]]-shaped, and short-lived. Groups of them tend to appear and vanish in various instances.",General,
274,174992,,,fake_animal_ears,[[Animal ears]] that are not real. Commonly found on [[hairband]]s and [[hood]]s but can also show up on [[hat]]s.,General,
275,175375,,,no_humans,No human or human-like characters are visible in the picture.,General,
276,174795,,,covered_nipples,"[[Nipples]] visibly protruding through clothing. Do not tag if you can [[see-through clothes|see]] the nipples at all, even if faintly.",General,
277,174264,,,pokemon_(creature),The namesake [[creature]]s from the [[Pokemon|Pokémon]] series.,General,
278,174009,,,see-through_clothes,"Clothing or fabric that is partially or fully transparent, whether because of thin or sheer material, or because it's [[wet]].",General,
279,172757,,,border,"When a picture has a border along its sides. Most often, this is a simple solid color border on all four sides. See [[ornate border]] for more complex borders.",General,
280,172198,,,wrist_cuffs,"An accessory worn around the wrist, with the appearance of a detached [[sleeve cuffs|sleeve cuff]], made of material such as fabric, leather, fur, or metal.",General,
281,169515,,,maid,A person who wears a western (specifically Anglo-French)-style maid uniform. See [[wa maid]] for traditional Japanese maids.,General,
282,170216,,,fox_ears,"When a character has fox-like [[animal ears]]. These are typically long, pointy, and lighter than [[wolf ears]].",General,
283,176474,,,sleeveless_shirt,"A style of [[shirt]] that doesn't have any distinctive sleeves attached to the main torso garment. Should not be confused with [[tank top]], as they are intended to be [[sleeveless]].",General,
284,167542,,,torn_clothes,Clothes that are in a [[torn]] state.,General,
285,166509,,,white_socks,[[Socks]] or [[kneehighs]] that are white.,General,
286,166108,,,black_bow,A [[bow]] that's colored [[black]].,General,
287,165871,,,sketch,"A hasty or undetailed drawing or painting often made as a preliminary study. Traits include rough lines, [[monochrome]] or basic coloring, and left over structural shapes.",General,
288,165996,,,maid_headdress,"A type of [[hairband]] usually worn with a [[maid]] uniform. The stereotypical maid headdress has prominent, upright standing [[frills]]. If it does not, use [[frilled hairband]] instead.",General,
289,165791,,,buttons,"Buttons on clothing. Typically used to fasten together shirts, pants, or sleeves, but sometimes they are purely decorative.",General,
290,165349,,,pillow,"A pillow is used to [[sleeping|sleep]] on and support the head/[[neck]] or other parts of the body while sleeping, [[lying]] down or [[sitting]].",General,
291,164930,,,gradient_hair,[[Multicolored hair]] that blends and gradually changes from one color to another.,General,
292,164181,,,legs,"When legs are the main focus of the image. If the legs in question are not on full display, [i]not just [[thighs]][/i], please refrain from using this tag.",General,
293,164930,,,wet,"Covered with water or a watery liquid, does also include bodily fluids like [[pussy juice]].",General,
294,163371,,,neck_ribbon,A [[ribbon]] that is tied to the neck in place of a [[necktie]].,General,
295,162735,,,tattoo,An application of permanent colour to the skin for the purpose of drawing a symbol or picture.,General,
296,161537,,,gun,A [[weapon]] that fires [[bullet]]s by way of explosive propellant.,General,
297,162665,,,black_hat,A [[hat]] that is colored black.,General,
298,161134,,,sash,"A large and usually colorful ribbon or band of material worn around the body, usually either:",General,
299,160786,,,groin,"The linear depressions (defined by the inguinal ligaments) at the bottom of the belly, where the abdomen meets the thighs. Often shown exposed above the waistband of a [[lowleg]] garment, or below the leg holes of a [[highleg]] garment.",General,
300,160838,,,watermark,"An image containing text or a [[logo]] superimposed on top of the image. Typically to identify the owner/creator of the work, prevent the image from being counterfeited and/or impede [[ai-generated|AI training]]. Some watermarks are also deliberately placed as a paywall on samples of [[paid reward]] images.",General,
301,160997,,,ascot,A broad- or narrow-necked scarf knotted around the neck so that it ends in a wide-tipped tail.,General,
302,160210,,,short_shorts,"[[Shorts]] with an inseam length of two inches or less, showing most of the [[legs]].",General,
303,160029,,,muscular,"For the actual muscle tissue under the skin (such as seen in [[anatomy]] pictures), please use [[exposed muscle]]. For unknown pink tissue that doesn’t have the lines seen in muscle tissue, use [[flesh]].",General,
304,159863,,,colored_skin,"Skin that is any color that would be unnatural for a normal human. Often seen on fantasy races, [[furry|furries]], [[demon girl]]s, [[demon boy]]s, [[alien]]s, [[zombie]]s, and other not-entirely-human characters.",General,
305,157669,,,gradient_background,A background with [[gradient]] colors.,General,
306,157432,,,bare_arms,Use this tag when the upper arms until the middle of the forearms/wrists are not covered by clothing or apparel.,General,
307,155777,,,hoodie,"A sweatshirt with an attached [[hood]] that is pulled over the head. Often features a [[drawstring]]. If it has a zipper, it's a [[hooded jacket]].",General,
308,156695,,,book,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.",General,
309,155459,,,hair_intakes,A hair style that creates twin forward-facing scoops. Might become [[hair ears]] when intensified.,General,
310,155139,,,covered_navel,"Where the impression of the [[navel]] can be seen through opaque [[skin tight]] clothing such as [[one-piece swimsuit|one-piece swimsuits]], [[school swimsuit]]s, [[bodysuit]]s, [[playboy bunny|bunnysuits]], [[leotard]]s, etc.",General,
311,153841,,,cosplay,"[b]Cosplay[/b] [i](short for costume play)[/i] refers to real people dressing up as fictional characters. This is somewhat similar to [[halloween_costume|Halloween costumes]] (and they can certainly overlap), but a good cosplay outfit is often far more elaborate.",General,
312,154526,,,uncensored,An image that has not been [[censored]] by the artist. See [[decensored]] for images that have been decensored by a [[third-party edit]].,General,
313,153903,,,black_ribbon,A [[ribbon]] that's colored [[black]].,General,
314,153603,,,plaid_clothes,Clothing featuring a plaid print.,General,
315,153278,,,pubic_hair,"Hair growing in the pubic area, also known as 'pubes'. For pubic hair on males, see [[male pubic hair]]. For pubic hair on females, see [[female pubic hair]].",General,
316,152671,,,bare_legs,"When a character's legs are bare, not covered by [[pants]], [[dress]], [[long skirt]], [[thighhighs]], or [[pantyhose]].",General,
317,152629,,,one-piece_swimsuit,A [[swimsuit]] which is worn as a single piece of clothing and provides more coverage than a [[bikini]].,General,
318,151978,,,floating_hair,"Hair that is blowing in the [[wind]], floating in midair, or otherwise not being held down by gravity.",General,
319,151485,,,blurry_background,When the background of an image is out-of-focus.,General,
320,151795,,,black_panties,[[Panties]] that are predominatly black in color.,General,
321,151076,,,lips,The fleshy folds that surround the opening of the mouth.,General,
322,150355,,,head_tilt,"When a character tilts their head to one side, which is commonly done as either an inquisitive gesture, or a cute gesture, though it can be done for any reason.",General,
323,150354,,,window,A transparent platform of glass used to allow the occupants of a [[building]] or [[house]] look outside without exposing themselves to the elements.,General,
324,149531,,,blood,"Bodily fluid that supplies cells with nutrients and oxygen and remove residues. If it appears outside the body, [[injury|then something is wrong]].",General,
325,149721,,,detached_collar,A folded shirt collar without the shirt. Usually seen with a [[necktie]] or [[bowtie]].,General,
326,148741,,,pov,An image in first-person point-of-view.,General,
327,148382,,,profile,When one side of the character's face is shown.,General,
328,147864,,,black_shorts,Any style of [[shorts]] that are colored [[black]].,General,
329,147953,,,makeup,Any type of makeup worn on the face.,General,
330,146733,,,single_braid,When only one braid of hair is present. Usually worn in place of a [[braided ponytail|ponytail]].,General,
331,145676,,,zettai_ryouiki,"Zettai ryouiki (lit. absolute territory) is the area of bare [[thighs]] seen between a [[skirt]] or [[short dress]] and [[thighhighs]]. The skirt should not be [[skirt lift|lifted up]] or out of place; the thighs should be exposed naturally, by the skirt being too short to cover the tops of the thighhighs. Example characters include [[Tohsaka Rin]], [[Momose Kurumi]] and [[Mayura]].",General,
332,145373,,,horse_ears,The elongated and tall ears of a [[horse]]. Made for either characters who naturally have them or [[fake animal ears|wear them as an accessory]].,General,
333,145561,,,blue_background,"Backgrounds with a solid or predominantly [[blue]] color. Used for shades of ultramarine, navy or sky blue. For aquamarine or turquoise, use [[aqua background]]. Can also apply to [[gradient background]] in conjunction with another background color.",General,
334,144774,,,double_bun,A hairstyle in which the hair is wrapped into two round [[hair bun]]s.,General,
335,143885,,,petals,Petals that are detached from a [[flower]].,General,
336,142719,,,mask,A covering to hide one's face.,General,
337,143008,,,expressionless,"When a character's face lacks any emotion or expression. Different from [[serious]] because there is a reason for anger or determination, such as a battle or a death. Here, the character is stoic for no apparent reason.",General,
338,142310,,,copyright_name,The title of a copyright (a game/manga/anime/series/etc.) written somewhere in a post. Anything with an existing copyright tag qualifies for this tag.,General,
339,142059,,,bodysuit,"A [[skin tight]], one-piece garment that covers the body from the neck to at least the upper legs.",General,
340,142091,,,horse_girl,"A human girl with horse features, such as [[horse ears]] or a [[horse tail]].",General,
341,142071,,,kneehighs,"[[Socks]] that are knee-height, or just below knee-height.",General,
342,142004,,,blue_dress,A [[dress]] that is mainly [[blue]] in color.,General,
343,140541,,,white_jacket,A [[jacket]] that is colored [[white]].,General,
344,141142,,,dress_shirt,A somewhat formal [[collared shirt]] that is fastened with [[buttons]] in the front.,General,
345,139832,,,black_boots,[[Boots]] that are colored black.,General,
346,139764,,,facial_hair,Hair grown from the face.,General,
347,139594,,,turtleneck,"A turtleneck is a type of garment, usually a [[sweater]], with a [[high collar]] that covers the neck.",General,
348,139375,,,aqua_hair,Hair that is colored blue-green. Aqua also covers teal and turquoise.,General,
349,138487,,,hug,Embracing another person by wrapping one's arms around their body.,General,
350,137619,,,blue_bow,A [[bow]] that's colored [[blue]].,General,
351,137037,,,:3,"The facial expression where the mouth looks like a 3 on its side. Likened to the face of a [[cat]], and commonly used to portray innocence, cuteness, or mischievousness in an anime or manga.",General,
352,135535,,,shadow,[[Darkness]] caused by an object blocking [[light]].,General,
353,136471,,,swept_bangs,"[[Bangs]] that are combed loosely to one side or the other, usually with a less distinct part than [[parted bangs]].",General,
354,136367,,,capelet,"A small [[cape]] usually covering only the shoulders. They are usually worn during the colder months, and as such are commonly seen as part of [[santa costume|santa costumes]]. Also known as a mantle.",General,
355,136047,,,shiny_skin,"Use when skin has a sheen of specular highlights, typically from moisture.",General,
356,135067,,,night,The time of the day when it is [[dark]]. The [[sky]] is usually [[black]] or dark [[blue]].,General,
357,133995,,,heterochromia,Wasei-eigo: odd eye,General,
358,133863,,,highleg,"A garment with a high legline, where the leg opening or straps rest high on the hips.",General,
359,133776,,,bell,"A hollow metal musical [[instrument]], that emits a metallic tone when struck.",General,
360,133557,,,dutch_angle,An image that is framed at a tilted angle. Often used to fit tall characters into a wide image. The technique may also be used to make an image appear more dynamic or visually interesting.,General,
361,133250,,,skindentation,Portmanteau of skin indentation.,General,
362,132498,,,anus,The external opening of the rectum.,General,
363,132385,,,holding_sword,[[Holding]] a [[sword]].,General,
364,132212,,,piercing,An opening created in the body in which [[jewelry]] is worn.,General,
365,132369,,,black_bikini,A [[bikini]] that is colored black.,General,
366,132233,,,kneeling,"Resting one or both knees on the ground. In other words, knees on the ground, butt off the ground.",General,
367,132188,,,sideboob,When only the outer side(s) of the [[breasts]] are visible through a gap in the clothing. No bare [[nipples]] should be visible.,General,
368,131677,,,leaning_forward,"When a character has their torso angled forward slightly, but not far enough to count as [[bent over]]. The character will often have their [[hands on own knees|hands on their knees]] or alternatively further up [[hands on own thighs|on their thighs]] as support.",General,
369,131934,,,low_twintails,"[[Twintails]] where the tails are tied down low, at or below the ears, instead of near the head.",General,
370,131607,,,on_bed,[[Sitting]] or [[lying]] on a [[bed]] or [[futon]].,General,
371,129232,,,chinese_clothes,"Any variety of Chinese clothing, including traditional clothing, contemporary clothing, and clothing worn by martial artists.",General,
372,129189,,,scar,"A mark left on the skin where a [[deep wound|wound]], [[cuts|cut]], burn, or other [[injury]] healed.",General,
373,128817,,,open_shirt,A [[shirt]] or [[blouse]] that has been fully or [[partially unbuttoned]] and left hanging open.,General,
374,127369,,,red_skirt,A [[skirt]] or [[miniskirt]] that is colored [[red]].,General,
375,126736,,,saliva,Saliva is a liquid produced in the mouth of most animals.,General,
376,126156,,,siblings,"Two or more siblings, either of one sex ([[sisters]] or [[brothers]]) or both ([[brother and sister]]).",General,
377,126027,,,^_^,"[[Closed eyes]] with an upward peak. Almost always paired with a [[smile]], but iconic enough to be indicative of one even when the mouth is hidden or missing.",General,
378,124222,,,frown,"A facial expression used to indicate a variety of negative emotions, including displeasure, disapproval, annoyance, or general unhappiness.",General,
379,122464,,,pussy_juice,"A lubricating liquid secreted from a female's [[pussy|vagina]] in response to sexual stimulation, including (but not exclusive to) [[female orgasm|orgasm]]. More informally called female cum.",General,
380,123477,,,fruit,"Any sweet, edible part of a plant that resembles seed-bearing fruit. An [[apple]] for example.",General,
381,122406,,,4girls,An image containing four female characters. Male characters may also be present in addition to the female characters.,General,
382,122357,,,alternate_hairstyle,Characters which are drawn with a hairstyle different from their default hairstyle. This also includes changes in hair length.,General,
383,122192,,,fangs,"For images of characters featuring multiple prominent canine teeth, such as with [[vampire|vampires]] or various animals.",General,
384,121850,,,blue_shirt,Any style of [[shirt]] that's colored [[blue]].,General,
385,121761,,,bird,A class of [[animal|animals]] characterized by their feathered wings.,General,
386,121000,,,wavy_hair,A type of hair which resembles waves.,General,
387,120060,,,rose,"A type of [[flower]] associated with romance, and it is a traditional gift given to a loved one. Each color a rose can be in has specific symbolism as well.",General,
388,120194,,,black_socks,[[Socks]] or [[kneehighs]] that are black.,General,
389,120404,,,soles,"The bottoms of the [[feet]]. This tag should be used if the majority of soles are visible, even at an angle.",General,
390,119564,,,thick_thighs,[[Thighs]] that are thicker than normal.,General,
391,119402,,,blush_stickers,"[[Blush]] that appears as 2D ovals sitting on the cheeks.  It's often drawn with borders around the edges, a solid fill color, or other stylized shading, and may not sit completely on the cheeks.",General,
392,119333,,,nose_blush,When one [[blush]]es across the bridge of their nose.,General,
393,120647,,,one_side_up,"A hair style in which a portion of the hair is tied up on one side, while the rest hangs normally. The amount of hair tied up doesn't matter, only that the untied hair falls down loosely.",General,
394,119186,,,sandals,"An open type of footwear, consisting of a sole held to the wearer's foot by straps or thongs passing over the instep and around the ankle.",General,
395,118483,,,playboy_bunny,"A woman wearing the uniform of a Playboy bunny (sometimes referred to unofficially as a bunnysuit). In Japan, the concept has been divorced from the Playboy brand, and they are simply known as bunny girls.",General,
396,118893,,,fox_tail,"If a character has [[tail]]s similar to those of a [[fox]], use this tag.",General,
397,118373,,,animal,Use this tag for real animals that exist or have existed on earth.,General,
398,118308,,,halterneck,"A style of top with a single strap that is supported around the neck, lacking any fabric on the shoulders.",General,
399,118074,,,leaf,A flat green appendage that grows on a [[plant]] or [[tree]].,General,
400,117788,,,beret,"A soft, round cap with a flat crown, with the band under the crown's body. Worn by both men and women for fashion purposes, it is also commonly seen in military and police units.",General,
401,117812,,,bed,A piece of furniture used for [[sleeping]].,General,
402,116838,,,holding_hands,When two or more characters' hands are touching.,General,
403,117201,,,chain,A series of metal loops linked together.,General,
404,117760,,,blue_jacket,A [[jacket]] that is colored [[blue]].,General,
405,116834,,,phone,A device for transmitting sound in real time across distances.,General,
406,116161,,,ocean,A large body of [[water|water]] on the Earth's surface. There's usually a [[beach]] near the coastline of a landmass. Sometimes one can see the [[horizon]] if they look far enough.,General,
407,116355,,,chair,A raised sitting surface supported by wooden/plastic/metal legs.,General,
408,115404,,,glowing,An object or character that is radiating with light.,General,
409,115214,,,cum_in_pussy,"When someone [[ejaculation|ejaculates]] or has ejaculated inside a female's [[pussy|vagina]], leaving [[cum]] inside.",General,
410,115021,,,holding_food,[[Holding]] any type of consumable [[food]] item.,General,
411,115080,,,facial_mark,"Markings on the face, simple in design. Either drawn on, pasted on, tattooed, or formed as a unique birthmark.",General,
412,114140,,,from_above,Looking at something/someone from above. The perspective has [i]you[/i] looking down at a character.,General,
413,114065,,,thick_eyebrows,Cases where the character has unusually thick eyebrows.,General,
414,114042,,,erection,An erect [[penis]].,General,
415,113945,,,cat_girl,"A girl with real [[cat]]-like features, such as [[cat ears]] or a [[cat tail]].",General,
416,113551,,,transparent_background,An image with a transparent background.,General,
417,112632,,,muscular_male,"A male who is very [[muscular]]. An overall bulky, bodybuilder physique, with large [[biceps]], developed [[abs]], and [[large pectorals]].",General,
418,113262,,,sunglasses,"A special kind of [[glasses]] which filter the very bright rays of the [[sun]] that enter the eyes. Also used to generally conceal one's eyes for any reason, medical or personal.",General,
419,113099,,,pink_background,Backgrounds with a solid or predominantly [[pink]] color. Can also apply to [[gradient background]] in conjunction with another background color.,General,
420,112389,,,bob_cut,A [[short hair]]cut in which a weighted area is left to fall between the ears and chin; can often include [[blunt ends]].,General,
421,112036,,,depth_of_field,"An effect where part of the image appears [[blurry]] and out-of-focus. This could be the [[blurry foreground|foreground]], the [[blurry background|background]], or both.",General,
422,111969,,,headphones,A pair of speakers worn on the ears so only the wearer can hear the sounds emitted.,General,
423,111930,,,frilled_dress,A [[dress]] with [[frills]].,General,
424,111891,,,white_flower,A [[flower]] that is white.,General,
425,111765,,,witch_hat,"A [[hat]] usually worn by [[witch]]es. Commonly pointed and with a wide brim, and [[black headwear|black]] in color.",General,
426,111729,,,headband,"A strap [b]worn across the forehead[/b], such as a sweatband, a strip of cloth worn during martial arts or athletic events, or a piece of ninja armor (however apocryphal). While a headband may be used to keep hair out of the eyes, it is usually worn under at least part of the hair. Headbands often end with a long tail trailing behind the head where they are tied.",General,
427,111609,,,black_hairband,A [[hairband]] that is [[black]] in color.,General,
428,110999,,,embarrassed,"Appearing self-conscious and uncomfortable, usually about one's self.",General,
429,110958,,,looking_down,Perspective or action that has character looking down.,General,
430,110638,,,hood_down,"Wearing a hooded garment without the [[hood]] on the head (as opposed to wearing the [[hood up]]). The hood must be visible for this tag to apply. If there's no hood at all on a character normally seen with a hood, consider the [[no headwear]] tag instead. [[Removing hood]] can apply when the hood is shown being thrown back or removed by the wearer.",General,
431,110428,,,happy,"Feeling or showing joy, contentment, or pleasure. Usually, this effect is achieved by [[laughing|laughter]] or a wide, open-mouth [[smile]].",General,
432,110229,,,white_border,An image that has a [[white]]-colored [[border]] surrounding its edges.,General,
433,110217,,,underboob,When the bottom side of the [[breasts]] are visible beneath clothing.  The [[nipples]] should not be visible.,General,
434,110020,,,no_bra,"Wearing a [[shirt]], top or [[dress]] with no [[bra]] underneath. Common situations include wearing a [[see-through clothes|see-through]] shirt without a bra, or having a [[shirt lift]] or [[open shirt]] reveal the character isn't wearing a bra.",General,
435,109930,,,red_dress,A [[dress]] that is mainly [[red]] in color.,General,
436,109686,,,half-closed_eyes,"Eyes that are partially closed. Used to display a variety of expressions, from drowsiness to seductive looks.",General,
437,109660,,,white_bikini,A [[bikini]] that is colored [[white]] and that doesn't have [[striped_bikini|stripes]].,General,
438,108840,,,cellphone,A small handheld electronic mobile [[phone]].,General,
439,108824,,,abs,Developed abdominal muscles. Also known as a six pack.,General,
440,107072,,,cameltoe,"The contour in the fabric of a lower garment (e.g. [[panties]], [[bikini]], [[shorts]]) in the shape of a woman's [[labia]], vaguely reminiscent of a [[camel]]'s toes. It is the result of very tight-fitting clothes.",General,
441,106944,,,white_bow,A [[bow]] that's colored [[white]].,General,
442,106617,,,pectorals,The chest muscles around the male breast area.,General,
443,106468,,,side-tie_bikini_bottom,"A [[bikini]] bottom that is tied at the sides, a lot like [[side-tie panties]]. Frequently goes together with a [[front-tie bikini top]].",General,
444,106395,,,bandages,"A woven strip of material typically used medically in order to support a dressing or splint, or to provide support to the body.",General,
445,106336,,,groping,"Groping, when used in a sexual context, is touching or fondling another person in a sexual way. Areas of the body most frequently associated to groping in artworks are usually [[breasts]] or [[ass]].",General,
446,105903,,,dark-skinned_male,A male character with [[dark skin]].,General,
447,106113,,,beach,"Where the land meets the [[water]]. Beaches are flat and made of sand, gravel, or small stones - when rocky, paved, or sheer cliff, see [[shore]].",General,
448,105792,,,white_hat,A [[hat]] that is colored white.,General,
449,105572,,,bottomless,"Nude from the waist down. Wearing a top, but no bottoms.",General,
450,105497,,,bed_sheet,A sheet of cloth put on the bed that you can either sleep on or under.,General,
451,105469,,,plaid_skirt,A [[plaid]]-patterned [[skirt]].,General,
452,105459,,,short_dress,"A one-piece [[dress]] with the bottom half covering the hips or thighs. It goes down to the middle of the thighs at the lowest to just below the crotch and ass at the highest. For even shorter dresses, use [[microdress]].",General,
453,105310,,,cum_on_body,"[[cum|Semen]] on top of, rather than inside, a person's body. Only use this tag when the fluid is in direct contact with a person's skin.",General,
454,105302,,,white_skirt,A [[skirt]] or [[miniskirt]] that is colored [[white]].,General,
455,104902,,,no_shoes,"Wearing [[socks]], [[thighhighs]] or [[pantyhose]] but no shoes. If there is nothing covering the foot, use [[barefoot]] instead.",General,
456,104791,,,colored_inner_hair,Hair that is a different color on the inside than on the outside.,General,
457,104560,,,bright_pupils,Pupils of the eyes that are lighter than the surrounding iris color.,General,
458,104536,,,4koma,"A continuous four-panel [[comic]] strip in a vertical, horizontal, or [[square 4koma|square]] format. An example is [[Azumanga Daioh]].",General,
459,104515,,,military_uniform,Any formal uniform that belongs to a real-world armed forces or fictional [[military]] faction.,General,
460,104207,,,testicles,"The primary male sexual organs. They are responsible for the production of sperm, which are transported via [[cum|semen]] to the [[uterus]] of a female, at which point they are used to [[pregnant|impregnate]] her. The testicles are also a major male erogenous zone.",General,
461,104174,,,military,"A broad theme tag which is meant to be used for realistic or appropriate-looking depictions of [[military uniform]]s (and their [[insignia]]), characters who serve in the armed forces, or (modern) military-related sceneries and activities such as [[battle|combat]].",General,
462,103919,,,drill_hair,"Hair that is curled into conical, drill-shaped ringlets. If the hair is curled but not conical and pointy, it should be tagged [[ringlets]] instead.",General,
463,103767,,,back,"When a person's back is visible, and it is given a fair amount of focus in the image. The back is the area reaching from the shoulders down to the top of the [[ass]].",General,
464,103401,,,no_panties,"Wearing a [[skirt]], [[dress]], [[shorts]], or other similar clothing but with no [[panties]] or [[underwear]].",General,
465,103175,,,arm_support,When a character is using their arm(s) to support their own body weight.,General,
466,103130,,,demon_horns,"The [[horns]] of a [[demon girl]], or [[demon boy]].",General,
467,101826,,,floral_print,When there are [[flower|flowers]] printed on any article of clothing. They can be abstract or realistic.,General,
468,101212,,,thigh_boots,"[[Boots]] that are roughly thigh-high. Thigh boots extend over the knee to at least mid-thigh level, sometimes up to crotch level.",General,
469,100678,,,on_side,Lying on one's side.,General,
470,100556,,,ass_visible_through_thighs,When you can see the [[ass|butt]] cheeks peeking through between the [[thighs]] of a character who is facing the viewer.,General,
471,100607,,,flying_sweatdrops,"For when [[sweatdrop]]s appear to be flying off a person's body, physics be damned.",General,
472,100187,,,umbrella,"A device that can be used to either keep one's self dry in the [[rain]] or be used as shade during a hot, sunny day. Can sometimes be used as a [[improvised weapon|weapon]].",General,
473,99896,,,portrait,"An image primarily of the face of a character. It should not fall significantly below the armpits or past the character's chest/[[breasts]]; if it does, use the [[upper body]] tag instead.",General,
474,99699,,,ring,"[[Jewelry]] consisting of a circlet of precious metal (often set with jewels), usually worn on the finger.",General,
475,99657,,,squatting,"Resting only on the feet (rather than the butt or legs) while bent at the knees. The knees shouldn't touch the ground, if they do, it's [[kneeling]] instead.",General,
476,99177,,,black_background,Backgrounds with a solid or predominantly [[black]] color. Can also apply to [[gradient background]] in conjunction with another background color.,General,
477,98708,,,arms_behind_back,"Both arms swept behind the back in a coy manner, or done forcibly in [[bondage]].",General,
478,98541,,,furry,"Anthropomorphic animals. Body fur, feathers, or scales are common. Characters that have only tails or ears are not considered furry, use [[kemonomimi mode]] instead.",General,
479,98477,,,female_pubic_hair,[[Pubic hair]] on a female character.,General,
480,98273,,,heart-shaped_pupils,When a character's pupils are shaped like [[heart]]s. Often a sign of being [[lovestruck]] or experiencing sexual pleasure.,General,
481,98104,,,demon_girl,"A female character with a demonic appearance. Typical characteristics include [[fangs]], [[demon horns]], [[glowing eyes]], [[pointy ears]], [[colored skin]], [[colored sclera]], [[claws]], [[hooves]], [[demon wings]] and [[demon tail|long tails]].",General,
